"id","move_type","name","invoice_date","invoice_date_due","partner_id/name","partner_id/vat","ref","invoice_line_ids/sequence","invoice_line_ids/name","invoice_line_ids/account_id/code","invoice_line_ids/quantity","invoice_line_ids/price_unit","invoice_line_ids/tax_ids/id"
"__export__.account_move_sol_gosi_aug25","in_invoice","GOSI-126352597","2025-08-31","2025-09-17","GOSI (General Organisation for Social Insurance)","","Bill No: 126352597","1","GOSI Contribution - Aug 2025 (Annuity 1259.28 + UI 104.94 + OH 319.92)","600100","1","1684.14",""
"__export__.account_move_sol_gosi_sep25","in_invoice","GOSI-130584834","2025-09-30","2025-10-16","GOSI (General Organisation for Social Insurance)","","Bill No: 130584834","1","GOSI Contribution - Sep 2025 (Annuity 1259.28 + UI 104.94 + OH 319.92)","600100","1","1684.14",""
"","","","","","","","","2","GOSI Late Payment Fee - Sep 2025","600200","1","33.68",""
"__export__.account_move_sol_gosi_oct25","in_invoice","GOSI-134704242","2025-10-31","2025-11-17","GOSI (General Organisation for Social Insurance)","","Bill No: 134704242","1","GOSI Contribution - Oct 2025 (Annuity 1259.28 + UI 104.94 + OH 319.92)","600100","1","1684.14",""
"__export__.account_move_sol_gosi_nov25","in_invoice","GOSI-143000143","2025-11-30","2025-12-17","GOSI (General Organisation for Social Insurance)","","Bill No: 143000143","1","GOSI Contribution - Nov 2025 (Annuity 1259.28 + UI 104.94 + OH 374.28)","600100","1","1738.50",""
"","","","","","","","","2","GOSI Late Fee (33.68) + Backdated Joining Adjustment (33.32) - Nov 2025","600200","1","67.00",""
"__export__.account_move_sol_gosi_dec25","in_invoice","GOSI-145527491","2025-12-31","2026-01-15","GOSI (General Organisation for Social Insurance)","","Bill No: 145527491","1","GOSI Contribution - Dec 2025 (Annuity 1259.28 + UI 104.94 + OH 499.92)","600100","1","1864.14",""
"__export__.account_move_sol_gosi_jan26","in_invoice","GOSI-149788766","2026-01-31","2026-02-17","GOSI (General Organisation for Social Insurance)","","Bill No: 149788766","1","GOSI Contribution - Jan 2026 (Annuity 1754.28 + UI 146.20 + OH 554.92)","600100","1","2455.40",""
"__export__.account_move_sol_gosi_mar26","in_invoice","GOSI-MAR2026","2026-03-31","2026-04-13","GOSI (General Organisation for Social Insurance)","","WARNING: Bill PDF not in file - download from GOSI portal (Reg: 652836003)","1","GOSI Contribution - Mar 2026","600100","1","2455.40",""
"__export__.account_move_sol_gosi_apr26_snb","in_invoice","GOSI-APR2026-SNB","2026-04-30","2026-04-14","GOSI (General Organisation for Social Insurance)","","GOSI Apr 2026 - paid via SNB SADAD 14-Apr-2026","1","GOSI Contribution - Apr 2026","600100","1","2724.14",""
"__export__.account_move_sol_gosi_apr26_rib","in_invoice","GOSI-APR2026-RIB","2026-04-30","2026-04-04","GOSI (General Organisation for Social Insurance)","","REVIEW: Possible duplicate - Apr 2026 via Riyadh Bank 04-Apr. Confirm if Mar or Apr.","1","GOSI Contribution - Apr 2026 (REVIEW BEFORE POSTING)","600100","1","2724.14",""
"__export__.account_move_sol_gosi_may26","in_invoice","GOSI-MAY2026","2026-05-31","2026-06-03","GOSI (General Organisation for Social Insurance)","","WARNING: Bill PDF not in file - download from GOSI portal (Reg: 652836003)","1","GOSI Contribution - May 2026","600100","1","1300.10",""
